iso_code,name,sp_2024,old_sp_2050,new_sp_2050,observed_rate,correction_reason
hur,Hulʻqʻumiʻnumʻ (Halkomelem),265,53,265,0.0,no observed rate; projected flat
huu,Murui Huitoto,3000,1359,3000,0.0,no observed rate; projected flat
hux,Nipode,50,10,50,0.0,no observed rate; projected flat
huy,Hulaulá,9500,4303,9500,0.0,no observed rate; projected flat
huz,Hunzib,700,317,700,0.0,no observed rate; projected flat
hvk,Haveke,300,136,300,0.0,no observed rate; projected flat
hvn,Hawu,100000,67506,100000,0.0,no observed rate; projected flat
ian,Iatmul,46000,20836,46000,0.0,no observed rate; projected flat
iar,Purari,7000,3171,7000,0.0,no observed rate; projected flat
ibd,Iwaidja,150,68,150,0.0,no observed rate; projected flat
ibn,Ibino,5000,2265,5000,0.0,no observed rate; projected flat
ibr,Ibuoro,5000,2265,5000,0.0,no observed rate; projected flat
iby,Ibani,60000,40504,60000,0.0,no observed rate; projected flat
idc,Idon,5000,2265,5000,0.0,no observed rate; projected flat
idr,Indri,700,140,700,0.0,no observed rate; projected flat
igg,Igana,114,52,114,0.0,no observed rate; projected flat
igm,Kanggape,930,421,930,0.0,no observed rate; projected flat
ign,Ignaciano,4500,2038,4500,0.0,no observed rate; projected flat
ijc,Izon,1000000,1949088,1000000,0.0,no observed rate; projected flat
ije,Biseni,4800,2174,4800,0.0,no observed rate; projected flat
ijn,Kalabari,258000,174165,258000,0.0,no observed rate; projected flat
ijs,Southeast Ijo,71500,48267,71500,0.0,no observed rate; projected flat
ike,Inuktitut,30000,20252,30000,0.0,no observed rate; projected flat
ikx,Ik,16000,10801,16000,0.0,no observed rate; projected flat
ikz,Ikizu,132000,89108,132000,0.0,no observed rate; projected flat
ili,Ili Turki,550,110,550,0.0,no observed rate; projected flat
ilv,Ilue,5000,2265,5000,0.0,no observed rate; projected flat
imn,Imonda,274,124,274,0.0,no observed rate; projected flat
ipk,Inupiaq,3000,600,3000,0.0,no observed rate; projected flat
ipo,Ipiko,200,91,200,0.0,no observed rate; projected flat
